"Date" "Open" "High" "Low" "Close" "Adj.Close" "Volume"
"402" "2018-10-18" 2802 2806.040039 2755.179932 2768.780029 2768.780029 3616440000
"403" "2018-10-19" 2775.659912 2797.77002 2760.27002 2767.780029 2767.780029 3566490000
"404" "2018-10-22" 2773.939941 2778.939941 2749.219971 2755.879883 2755.879883 3307140000
"405" "2018-10-23" 2721.030029 2753.590088 2691.429932 2740.689941 2740.689941 4348580000
"406" "2018-10-24" 2737.870117 2742.590088 2651.889893 2656.100098 2656.100098 4709310000
"407" "2018-10-25" 2674.879883 2722.699951 2667.840088 2705.570068 2705.570068 4634770000
"408" "2018-10-26" 2667.860107 2692.379883 2628.159912 2658.689941 2658.689941 4803150000
"409" "2018-10-29" 2682.649902 2706.850098 2603.540039 2641.25 2641.25 4673700000
"410" "2018-10-30" 2640.679932 2685.429932 2635.340088 2682.629883 2682.629883 5106380000
"411" "2018-10-31" 2705.600098 2736.689941 2705.600098 2711.73999 2711.73999 5112420000
"412" "2018-11-01" 2717.580078 2741.669922 2708.850098 2740.370117 2740.370117 4708420000
"413" "2018-11-02" 2745.449951 2756.550049 2700.439941 2723.060059 2723.060059 4237930000
"414" "2018-11-05" 2726.370117 2744.27002 2717.939941 2738.310059 2738.310059 3623320000
"415" "2018-11-06" 2738.399902 2756.820068 2737.080078 2755.449951 2755.449951 3510860000
"416" "2018-11-07" 2774.129883 2815.149902 2774.129883 2813.889893 2813.889893 3914750000
"417" "2018-11-08" 2806.379883 2814.75 2794.98999 2806.830078 2806.830078 3630490000
"418" "2018-11-09" 2794.100098 2794.100098 2764.23999 2781.01001 2781.01001 4019090000
"419" "2018-11-12" 2773.929932 2775.98999 2722 2726.219971 2726.219971 3670930000
"420" "2018-11-13" 2730.050049 2754.600098 2714.97998 2722.179932 2722.179932 4091440000
"421" "2018-11-14" 2737.899902 2746.800049 2685.75 2701.580078 2701.580078 4402370000
"422" "2018-11-15" 2693.52002 2735.379883 2670.75 2730.199951 2730.199951 4179140000
"423" "2018-11-16" 2718.540039 2746.75 2712.159912 2736.27002 2736.27002 3975180000
"424" "2018-11-19" 2730.73999 2733.159912 2681.090088 2690.72998 2690.72998 3772900000
"425" "2018-11-20" 2654.600098 2669.439941 2631.52002 2641.889893 2641.889893 4357900000
"426" "2018-11-21" 2657.73999 2670.72998 2649.820068 2649.929932 2649.929932 3233550000
"427" "2018-11-23" 2633.360107 2647.550049 2631.090088 2632.560059 2632.560059 1651650000
"428" "2018-11-26" 2649.969971 2674.350098 2649.969971 2673.449951 2673.449951 3443950000
"429" "2018-11-27" 2663.75 2682.530029 2655.889893 2682.169922 2682.169922 3485220000
"430" "2018-11-28" 2691.449951 2744 2684.379883 2743.790039 2743.790039 3951670000
"431" "2018-11-29" 2736.969971 2753.75 2722.939941 2737.800049 2737.800049 3560770000
"432" "2018-11-30" 2737.76001 2760.879883 2732.76001 2760.169922 2760.169922 4658580000
"433" "2018-12-03" 2790.5 2800.179932 2773.379883 2790.370117 2790.370117 4186060000
"434" "2018-12-04" 2782.429932 2785.929932 2697.179932 2700.060059 2700.060059 4499840000
"435" "2018-12-06" 2663.51001 2696.149902 2621.530029 2695.949951 2695.949951 5141470000
"436" "2018-12-07" 2691.26001 2708.540039 2623.139893 2633.080078 2633.080078 4216690000
"437" "2018-12-10" 2630.860107 2647.51001 2583.22998 2637.719971 2637.719971 4151030000
"438" "2018-12-11" 2664.439941 2674.350098 2621.300049 2636.780029 2636.780029 3905870000
"439" "2018-12-12" 2658.22998 2685.439941 2650.26001 2651.070068 2651.070068 3955890000
"440" "2018-12-13" 2658.699951 2670.189941 2637.27002 2650.540039 2650.540039 3927720000
"441" "2018-12-14" 2629.679932 2635.070068 2593.840088 2599.949951 2599.949951 4035020000
"442" "2018-12-17" 2590.75 2601.129883 2530.540039 2545.939941 2545.939941 4616350000
"443" "2018-12-18" 2559.899902 2573.98999 2528.709961 2546.159912 2546.159912 4470880000
"444" "2018-12-19" 2547.050049 2585.290039 2488.959961 2506.959961 2506.959961 5127940000
"445" "2018-12-20" 2496.77002 2509.629883 2441.179932 2467.419922 2467.419922 5585780000
"446" "2018-12-21" 2465.379883 2504.409912 2408.550049 2416.620117 2416.620117 7609010000
"447" "2018-12-24" 2400.560059 2410.340088 2351.100098 2351.100098 2351.100098 2613930000
"448" "2018-12-26" 2363.120117 2467.76001 2346.580078 2467.699951 2467.699951 4233990000
"449" "2018-12-27" 2442.5 2489.100098 2397.939941 2488.830078 2488.830078 4096610000
"450" "2018-12-28" 2498.77002 2520.27002 2472.889893 2485.73999 2485.73999 3702620000
"451" "2018-12-31" 2498.939941 2509.23999 2482.820068 2506.850098 2506.850098 3442870000
"452" "2019-01-02" 2476.959961 2519.48999 2467.469971 2510.030029 2510.030029 3733160000
"453" "2019-01-03" 2491.919922 2493.139893 2443.959961 2447.889893 2447.889893 3822860000
"454" "2019-01-04" 2474.330078 2538.070068 2474.330078 2531.939941 2531.939941 4213410000
"455" "2019-01-07" 2535.610107 2566.159912 2524.560059 2549.689941 2549.689941 4104710000
"456" "2019-01-08" 2568.110107 2579.820068 2547.560059 2574.409912 2574.409912 4083030000
"457" "2019-01-09" 2580 2595.320068 2568.889893 2584.959961 2584.959961 4052480000
"458" "2019-01-10" 2573.51001 2597.820068 2562.02002 2596.639893 2596.639893 3704500000
"459" "2019-01-11" 2588.110107 2596.27002 2577.399902 2596.26001 2596.26001 3434490000
"460" "2019-01-14" 2580.310059 2589.320068 2570.409912 2582.610107 2582.610107 3664450000
"461" "2019-01-15" 2585.100098 2613.080078 2585.100098 2610.300049 2610.300049 3572330000
"462" "2019-01-16" 2614.75 2625.76001 2612.679932 2616.100098 2616.100098 3863770000
"463" "2019-01-17" 2609.280029 2645.060059 2606.360107 2635.959961 2635.959961 3772270000
"464" "2019-01-18" 2651.27002 2675.469971 2647.580078 2670.709961 2670.709961 3986730000
"465" "2019-01-22" 2657.879883 2657.879883 2617.27002 2632.899902 2632.899902 3908030000
"466" "2019-01-23" 2643.47998 2653.189941 2612.860107 2638.699951 2638.699951 3335610000
"467" "2019-01-24" 2638.840088 2647.199951 2627.01001 2642.330078 2642.330078 3433250000
"468" "2019-01-25" 2657.439941 2672.379883 2657.330078 2664.76001 2664.76001 3814080000
"469" "2019-01-28" 2644.969971 2644.969971 2624.060059 2643.850098 2643.850098 3612810000
"470" "2019-01-29" 2644.889893 2650.929932 2631.050049 2640 2640 3504200000
"471" "2019-01-30" 2653.620117 2690.439941 2648.340088 2681.050049 2681.050049 3857810000
"472" "2019-01-31" 2685.48999 2708.949951 2678.649902 2704.100098 2704.100098 4917650000
"473" "2019-02-01" 2702.320068 2716.659912 2696.879883 2706.530029 2706.530029 3759270000
"474" "2019-02-04" 2706.48999 2724.98999 2698.75 2724.870117 2724.870117 3359840000
"475" "2019-02-05" 2728.340088 2738.97998 2724.030029 2737.699951 2737.699951 3560430000
"476" "2019-02-06" 2735.050049 2738.080078 2724.149902 2731.610107 2731.610107 3472690000
"477" "2019-02-07" 2717.530029 2719.320068 2687.26001 2706.050049 2706.050049 4099490000
"478" "2019-02-08" 2692.360107 2708.070068 2681.830078 2707.879883 2707.879883 3622330000
"479" "2019-02-11" 2712.399902 2718.050049 2703.790039 2709.800049 2709.800049 3361970000
"480" "2019-02-12" 2722.610107 2748.189941 2722.610107 2744.72998 2744.72998 3827770000
"481" "2019-02-13" 2750.300049 2761.850098 2748.629883 2753.030029 2753.030029 3670770000
"482" "2019-02-14" 2743.5 2757.899902 2731.22998 2745.72998 2745.72998 3836700000
"483" "2019-02-15" 2760.23999 2775.659912 2760.23999 2775.600098 2775.600098 3641370000
"484" "2019-02-19" 2769.280029 2787.330078 2767.290039 2779.76001 2779.76001 3533710000
"485" "2019-02-20" 2779.050049 2789.879883 2774.060059 2784.699951 2784.699951 3835450000
"486" "2019-02-21" 2780.23999 2781.580078 2764.550049 2774.879883 2774.879883 3559710000
"487" "2019-02-22" 2780.669922 2794.199951 2779.110107 2792.669922 2792.669922 3427810000
"488" "2019-02-25" 2804.350098 2813.48999 2794.98999 2796.110107 2796.110107 3804380000
"489" "2019-02-26" 2792.360107 2803.120117 2789.469971 2793.899902 2793.899902 3645680000
"490" "2019-02-27" 2787.5 2795.76001 2775.129883 2792.379883 2792.379883 3767130000
"491" "2019-02-28" 2788.110107 2793.72998 2782.51001 2784.48999 2784.48999 4396930000
"492" "2019-03-01" 2798.219971 2808.02002 2787.379883 2803.689941 2803.689941 3972280000
"493" "2019-03-04" 2814.370117 2816.879883 2767.659912 2792.810059 2792.810059 3919810000
"494" "2019-03-05" 2794.409912 2796.439941 2782.969971 2789.649902 2789.649902 3585690000
"495" "2019-03-06" 2790.27002 2790.27002 2768.689941 2771.449951 2771.449951 3786600000
"496" "2019-03-07" 2766.530029 2767.25 2739.090088 2748.929932 2748.929932 3904860000
"497" "2019-03-08" 2730.790039 2744.129883 2722.27002 2743.070068 2743.070068 3423130000
"498" "2019-03-11" 2747.610107 2784 2747.610107 2783.300049 2783.300049 3749030000
"499" "2019-03-12" 2787.340088 2798.320068 2786.72998 2791.52002 2791.52002 3414230000
"500" "2019-03-13" 2799.780029 2821.23999 2799.780029 2810.919922 2810.919922 3766150000
"501" "2019-03-14" 2810.379883 2815 2803.459961 2808.47998 2808.47998 3469730000
"502" "2019-03-15" 2810.790039 2830.72998 2810.790039 2822.47998 2822.47998 5962730000
